id,title,website,opt_out_url,opt_out_guide_url,opt_out_guide_video_url,email,description,type,optery_support_tier,is_expanded_reach
26729,1called.com,https://www.1called.com/,,,,,"1called.com operates as a global reverse phone number lookup service, enabling users to identify the source of unknown calls. By entering a phone number into its search bar, individuals can potentially access information linked to that number, such as the owner's name and location. The service claims to have information on all phone numbers worldwide, allowing for anonymous searches without requiring registration. This easy access to personal data creates considerable privacy concerns, as it can be exploited for doxxing, stalking, harassment, and fraud. Malicious actors could use the service to connect a phone number to an individual's identity and location, increasing their vulnerability. To protect their privacy, individuals should limit the public sharing of their personal phone numbers and actively seek to remove their information from such online directories.",Phone Directory,Custom Removals,False
27231,1who.net,https://1who.net,,,,,"1who.net is a free and simple reverse phone number lookup service that allows users to identify the owner of a phone number. The website provides a search bar where anyone can enter a phone number to access associated information, which may include the owner's name and address. While the full scope of its database is not public, such services typically aggregate data from public records and other sources. The primary users are individuals curious about an unknown caller. The public availability of this information poses significant privacy risks, as it can be exploited for doxxing, stalking, harassment, and identity theft. Malicious actors could use this data to link a phone number to a physical address and other personal details, increasing a person's vulnerability. To protect their privacy, individuals should be cautious about sharing their phone number online and can request to have their information removed from such databases.",Phone Directory,Custom Removals,False
21022,33 Mile Radius,https://www.33mileradius.com/,,,,privacy@33mileradius.com,,B2B Lead Generation,Core,True
21021,33Across,https://www.33across.com/,https://udp.33across.com/udp_opt_out,,,privacy@33across.com,,Marketing,Core,True
20802,360 Media Direct,https://www.360mediadirect.com/,,,,privacy@360mediadirect.com,,Marketing,Core,True
17289,411.com,https://www.411.com/,https://www.whitepages.com/suppression-requests,https://www.optery.com/411-com-how-to-opt-out-of-411-com-step-by-step-instructions/,https://www.youtube.com/watch?v=scIwia0-y0k,support@whitepages.com,"411.com is a people search directory. Anyone can search using a name, phone number or address to reveal a person’s current and past home addresses, age, names of relatives, and other public records. Sites like 411.com often sell personal information to third-party advertisers and companies for marketing purposes – without the consent or knowledge of the individuals.",People Search Site,Ultimate,False
18611,411.info,https://411.info,https://411.info/manage/,https://www.optery.com/411-info-how-to-opt-out-of-411-info-step-by-step-instructions/,,privacy@411.info,"411.info is the first online 411 service in US and Canada. Offering a free online information service, this data broker aims to help individuals locate people, businesses, services, and addresses. Moreover, the online services they offer are free of charge, in contrast to telephone-based 411 services. The online directory services offered on their website make it easy to connect with people and services, but this also means it leaves us exposed online. Our valuable personal and business information is bought and shared online in just a few clicks without our knowledge. This often results in phishing attempts, and unwanted spam calls and emails. If you are concerned about your personal or company online security, we have created Step-by-Step instructions on How to Opt Out of 411.info-Business below.",People Search Site,Ultimate,False
26335,411reverselookup.ca,https://www.411reverselookup.ca/,,,,,"411reverselookup.ca is a Canadian online reverse phone number lookup service. Powered by the Canada411 and Yellow Pages databases, it allows users to identify the owner of a residential or business phone number in Canada. Users can enter a full 10-digit phone number to find a specific listing or a 7-digit number to see all listings containing that sequence. If a number is not in their database, the service may still provide general information such as the city and province of origin, the carrier, and whether it is a cell number or landline. The public availability of this information can be exploited by malicious actors for phishing scams, unsolicited marketing calls, or to gather personal details for doxxing and harassment. This exposure of personal contact information, even when limited, contributes to a higher risk of individuals being targeted for various forms of fraud. To mitigate these risks, individuals should be cautious about where they share their phone number online and can request to have their information removed from such directories.",Phone Directory,Custom Removals,False
26426,"6sense Insights, Inc.",https://6sense.com/,https://6sense.com/privacy-policy/,,,privacy@6sense.com,"6sense is a revenue intelligence platform that utilizes artificial intelligence to support business-to-business (B2B) marketing and sales teams. The service captures and analyzes vast amounts of online data, referred to as ""buying signals,"" to predict which companies are actively looking to purchase specific products or services. Its primary customers are enterprise sales and marketing departments in sectors like technology, finance, and manufacturing, who use the platform to identify and prioritize high-value accounts for their outreach campaigns. While 6sense focuses on business data, it collects and provides professional contact information, including names, job titles, and corporate email addresses, to its subscribers. This practice poses a risk to professional privacy, as it can lead to an increase in unsolicited marketing emails and sales calls. To mitigate this, individuals should be mindful of the professional information they share online and can request to have their data removed by submitting an opt-out request through the 6sense privacy center.",B2B Lead Generation,Custom Removals,False
21382,ACE Agents,https://www.aceagents.ai/,https://www.aceagents.ai/privacy,,,admin@aceagents.ai,,Marketing,Core,False
